category,path,line,source
critical_or_scheduler_lock,applications/debug/accessor/helpers/wiegand.cpp,34,FURI_CRITICAL_ENTER();
critical_or_scheduler_lock,applications/debug/accessor/scene/accessor_scene_start.cpp,39,FURI_CRITICAL_ENTER();
timer_or_ui_cadence,applications/debug/battery_test_app/battery_test_app.c,46,view_dispatcher_set_tick_event_callback(
unbounded_wait,applications/debug/blink_test/blink_test.c,75,"furi_message_queue_put(event_queue, &event, FuriWaitForever);"
timer_or_ui_cadence,applications/debug/blink_test/blink_test.c,87,"furi_timer_start(timer, furi_kernel_get_tick_frequency());"
unbounded_wait,applications/debug/blink_test/blink_test.c,99,"furi_check(furi_message_queue_get(event_queue, &event, FuriWaitForever) == FuriStatusOk);"
timer_or_ui_cadence,applications/debug/bt_debug_app/views/bt_carrier_test.c,38,"furi_timer_start(bt_carrier_test->timer, furi_kernel_get_tick_frequency() / 4);"
timer_or_ui_cadence,applications/debug/bt_debug_app/views/bt_carrier_test.c,41,"furi_timer_start(bt_carrier_test->timer, furi_kernel_get_tick_frequency() * 2);"
timer_or_ui_cadence,applications/debug/bt_debug_app/views/bt_packet_test.c,34,"furi_timer_start(bt_packet_test->timer, furi_kernel_get_tick_frequency() / 4);"
unbounded_wait,applications/debug/ccid_test/ccid_test_app.c,59,"furi_message_queue_put(event_queue, &event, FuriWaitForever);"
unbounded_wait,applications/debug/ccid_test/ccid_test_app.c,131,"furi_message_queue_get(app->event_queue, &event, FuriWaitForever);"
timer_or_ui_cadence,applications/debug/display_test/view_display_test.c,143,"furi_timer_start(instance->timer, furi_kernel_get_tick_frequency() / 32);"
explicit_delay,applications/debug/expansion_test/expansion_test.c,307,furi_delay_ms(EXPANSION_PROTOCOL_BAUD_CHANGE_DT_MS);
explicit_delay,applications/debug/expansion_test/expansion_test.c,451,furi_delay_ms(EXPANSION_PROTOCOL_TIMEOUT_MS - 50);
timer_or_ui_cadence,applications/debug/file_browser_test/file_browser_app.c,39,view_dispatcher_set_tick_event_callback(
unbounded_wait,applications/debug/keypad_test/keypad_test.c,27,"furi_mutex_acquire(state->mutex, FuriWaitForever);"
unbounded_wait,applications/debug/keypad_test/keypad_test.c,61,"furi_message_queue_put(event_queue, input_event, FuriWaitForever);"
unbounded_wait,applications/debug/keypad_test/keypad_test.c,80,"while(furi_message_queue_get(event_queue, &event, FuriWaitForever) == FuriStatusOk) {"
unbounded_wait,applications/debug/keypad_test/keypad_test.c,81,"furi_mutex_acquire(state.mutex, FuriWaitForever);"
timer_or_ui_cadence,applications/debug/rpc_debug_app/rpc_debug_app.c,99,view_dispatcher_set_tick_event_callback(
unbounded_wait,applications/debug/speaker_debug/speaker_debug.c,106,"status = furi_message_queue_get(app->message_queue, &message, FuriWaitForever);"
timer_or_ui_cadence,applications/debug/subghz_test/scenes/subghz_test_scene_show_only_rx.c,26,"popup_set_timeout(popup, 1500);"
timer_or_ui_cadence,applications/debug/subghz_test/subghz_test_app.c,39,view_dispatcher_set_tick_event_callback(
timer_or_ui_cadence,applications/debug/subghz_test/views/subghz_test_carrier.c,191,"furi_timer_start(subghz_test_carrier->timer, furi_kernel_get_tick_frequency() / 4);"
timer_or_ui_cadence,applications/debug/subghz_test/views/subghz_test_packet.c,213,"furi_timer_start(instance->timer, furi_kernel_get_tick_frequency() / 4);"
blocking_notification,applications/debug/subghz_test/views/subghz_test_static.c,105,"notification_message_block(notification, &sequence_set_red_255);"
unbounded_wait,applications/debug/text_box_element_test/text_box_element_test.c,61,"furi_mutex_acquire(state->mutex, FuriWaitForever);"
unbounded_wait,applications/debug/text_box_element_test/text_box_element_test.c,71,"furi_message_queue_put(event_queue, input_event, FuriWaitForever);"
unbounded_wait,applications/debug/text_box_element_test/text_box_element_test.c,90,"while(furi_message_queue_get(event_queue, &event, FuriWaitForever) == FuriStatusOk) {"
unbounded_wait,applications/debug/text_box_element_test/text_box_element_test.c,91,"furi_mutex_acquire(state.mutex, FuriWaitForever);"
unbounded_wait,applications/debug/uart_echo/uart_echo.c,202,"furi_thread_flags_wait(WORKER_EVENTS_MASK, FuriFlagWaitAny, FuriWaitForever);"
thread_join,applications/debug/uart_echo/uart_echo.c,315,furi_thread_join(app->worker_thread);
blocking_notification,applications/debug/unit_tests/test_runner.c,202,notification_message_block(
blocking_notification,applications/debug/unit_tests/test_runner.c,223,"notification_message_block(instance->notification, &sequence_set_only_blue_255);"
explicit_delay,applications/debug/unit_tests/test_runner.c,238,furi_delay_ms(200);
priority_change,applications/debug/unit_tests/tests/furi/furi_errno_test.c,42,"furi_thread_set_priority(threads[i], FuriThreadPriorityNormal);"
thread_join,applications/debug/unit_tests/tests/furi/furi_errno_test.c,47,furi_thread_join(threads[i]);
explicit_delay,applications/debug/unit_tests/tests/furi/furi_event_loop_test.c,96,furi_delay_us(furi_hal_random_get() % 100);
explicit_delay,applications/debug/unit_tests/tests/furi/furi_event_loop_test.c,139,furi_delay_us(furi_hal_random_get() % 100);
explicit_delay,applications/debug/unit_tests/tests/furi/furi_event_loop_test.c,174,furi_delay_us(furi_hal_random_get() % 100);
explicit_delay,applications/debug/unit_tests/tests/furi/furi_event_loop_test.c,209,furi_delay_us(furi_hal_random_get() % 100);
explicit_delay,applications/debug/unit_tests/tests/furi/furi_event_loop_test.c,264,furi_delay_us(furi_hal_random_get() % 100);
explicit_delay,applications/debug/unit_tests/tests/furi/furi_event_loop_test.c,303,furi_delay_us(furi_hal_random_get() % 100);
explicit_delay,applications/debug/unit_tests/tests/furi/furi_event_loop_test.c,339,furi_delay_us(furi_hal_random_get() % 100);
explicit_delay,applications/debug/unit_tests/tests/furi/furi_event_loop_test.c,376,furi_delay_us(furi_hal_random_get() % 100);
thread_join,applications/debug/unit_tests/tests/furi/furi_event_loop_test.c,515,furi_thread_join(producer_thread);
thread_join,applications/debug/unit_tests/tests/furi/furi_event_loop_test.c,516,furi_thread_join(consumer_thread);
explicit_delay,applications/debug/unit_tests/tests/furi_hal/furi_hal_tests.c,204,furi_delay_ms(EEPROM_WRITE_DELAY_MS);
unbounded_wait,applications/debug/unit_tests/tests/js/js_test.c,45,"context->event_flags, JsTestsFinished, FuriFlagWaitAny, FuriWaitForever);"
unbounded_wait,applications/debug/unit_tests/tests/nfc/nfc_test.c,569,"furi_thread_flags_wait(NFC_TEST_FLAG_WORKER_DONE, FuriFlagWaitAny, FuriWaitForever);"
unbounded_wait,applications/debug/unit_tests/tests/nfc/nfc_test.c,788,"furi_thread_flags_wait(NFC_TEST_FLAG_WORKER_DONE, FuriFlagWaitAny, FuriWaitForever);"
thread_join,applications/debug/unit_tests/tests/pipe/pipe_test.c,122,furi_thread_join(thread);
explicit_delay,applications/debug/unit_tests/tests/rpc/rpc_test.c,89,furi_delay_tick(1);
explicit_delay,applications/debug/unit_tests/tests/rpc/rpc_test.c,109,furi_delay_tick(1);
unbounded_wait,applications/debug/unit_tests/tests/rpc/rpc_test.c,272,"callbacks_context->output_stream, got_bytes, got_size, FuriWaitForever);"
explicit_delay,applications/debug/unit_tests/tests/rpc/rpc_test.c,1589,furi_delay_ms(100);
explicit_delay,applications/debug/unit_tests/tests/rpc/rpc_test.c,1594,furi_delay_ms(100);
explicit_delay,applications/debug/unit_tests/tests/rpc/rpc_test.c,1597,furi_delay_ms(200);
explicit_delay,applications/debug/unit_tests/tests/rpc/rpc_test.c,1601,furi_delay_ms(100);
explicit_delay,applications/debug/unit_tests/tests/rpc/rpc_test.c,1604,furi_delay_ms(100);
explicit_delay,applications/debug/unit_tests/tests/rpc/rpc_test.c,1608,furi_delay_ms(100);
explicit_delay,applications/debug/unit_tests/tests/rpc/rpc_test.c,1610,furi_delay_ms(500);
explicit_delay,applications/debug/unit_tests/tests/rpc/rpc_test.c,1858,furi_delay_ms(timeout);
explicit_delay,applications/debug/unit_tests/tests/storage/storage_test.c,63,furi_delay_ms(1000);
unbounded_wait,applications/debug/unit_tests/tests/storage/storage_test.c,83,"furi_semaphore_acquire(semaphore, FuriWaitForever);"
thread_join,applications/debug/unit_tests/tests/storage/storage_test.c,90,mu_check(furi_thread_join(locker_thread));
explicit_delay,applications/debug/unit_tests/tests/storage/storage_test.c,214,furi_delay_ms(100);
unbounded_wait,applications/debug/unit_tests/tests/storage/storage_test.c,234,"furi_semaphore_acquire(semaphore, FuriWaitForever);"
thread_join,applications/debug/unit_tests/tests/storage/storage_test.c,241,mu_check(furi_thread_join(locker_thread));
thread_join,applications/debug/unit_tests/tests/storage/storage_test.c,490,furi_thread_join(thread);
explicit_delay,applications/debug/unit_tests/tests/subghz/subghz_test.c,77,furi_delay_ms(100);
explicit_delay,applications/debug/unit_tests/tests/subghz/subghz_test.c,93,furi_delay_ms(10);
explicit_delay,applications/debug/unit_tests/tests/subghz/subghz_test.c,117,furi_delay_ms(100);
explicit_delay,applications/debug/unit_tests/tests/subghz/subghz_test.c,133,furi_delay_ms(10);
explicit_delay,applications/debug/unit_tests/tests/subghz/subghz_test.c,197,furi_delay_ms(10);
explicit_delay,applications/debug/unit_tests/tests/subghz/subghz_test.c,340,furi_delay_ms(10);
explicit_delay,applications/debug/unit_tests/unit_tests.c,21,furi_delay_ms(5000);
unbounded_wait,applications/debug/usb_mouse/usb_mouse.c,37,"furi_message_queue_put(event_queue, &event, FuriWaitForever);"
unbounded_wait,applications/debug/usb_mouse/usb_mouse.c,58,"FuriStatus event_status = furi_message_queue_get(event_queue, &event, FuriWaitForever);"
unbounded_wait,applications/debug/vibro_test/vibro_test.c,22,"furi_message_queue_put(event_queue, input_event, FuriWaitForever);"
unbounded_wait,applications/debug/vibro_test/vibro_test.c,42,"while(furi_message_queue_get(event_queue, &event, FuriWaitForever) == FuriStatusOk) {"
critical_or_scheduler_lock,applications/drivers/subghz/cc1101_ext/cc1101_ext.c,690,FURI_CRITICAL_ENTER();
unbounded_wait,applications/examples/example_adc/example_adc.c,95,"furi_message_queue_put(event_queue, input_event, FuriWaitForever);"
timer_or_ui_cadence,applications/examples/example_ble_beacon/ble_beacon_app.c,75,view_dispatcher_set_tick_event_callback(
unbounded_wait,applications/examples/example_custom_font/example_custom_font.c,88,"furi_message_queue_put(event_queue, input_event, FuriWaitForever);"
unbounded_wait,applications/examples/example_event_loop/example_event_loop_multi.c,149,"furi_check(furi_message_queue_put(app->input_queue, event, FuriWaitForever) == FuriStatusOk);"
thread_join,applications/examples/example_event_loop/example_event_loop_multi.c,320,furi_thread_join(app->worker_thread);
unbounded_wait,applications/examples/example_event_loop/example_event_loop_mutex.c,40,"furi_check(furi_mutex_acquire(app->worker_mutex, FuriWaitForever) == FuriStatusOk);"
explicit_delay,applications/examples/example_event_loop/example_event_loop_mutex.c,43,furi_delay_ms(work_time_ms);
thread_join,applications/examples/example_event_loop/example_event_loop_mutex.c,126,furi_thread_join(app->worker_thread);
unbounded_wait,applications/examples/example_event_loop/example_event_loop_stream_buffer.c,43,"furi_stream_buffer_send(app->stream_buffer, &data, 1, FuriWaitForever) == 1);"
explicit_delay,applications/examples/example_event_loop/example_event_loop_stream_buffer.c,45,furi_delay_ms(30 + furi_hal_random_get() % 20);
thread_join,applications/examples/example_event_loop/example_event_loop_stream_buffer.c,117,furi_thread_join(app->worker_thread);
unbounded_wait,applications/examples/example_images/example_images.c,33,"furi_message_queue_put(event_queue, input_event, FuriWaitForever);"
critical_or_scheduler_lock,applications/examples/example_thermo/example_thermo.c,92,FURI_CRITICAL_ENTER();
critical_or_scheduler_lock,applications/examples/example_thermo/example_thermo.c,126,FURI_CRITICAL_ENTER();
unbounded_wait,applications/examples/example_thermo/example_thermo.c,271,"furi_message_queue_put(context->event_queue, event, FuriWaitForever);"
unbounded_wait,applications/examples/example_thermo/example_thermo.c,290,"furi_message_queue_get(context->event_queue, &event, FuriWaitForever);"
thread_join,applications/examples/example_thermo/example_thermo.c,307,furi_thread_join(context->reader_thread);
unbounded_wait,applications/external/2048/game_2048.c,57,"furi_message_queue_put(event_queue, input_event, FuriWaitForever);"
unbounded_wait,applications/external/2048/game_2048.c,110,"furi_mutex_acquire(game_state->mutex, FuriWaitForever);"
unbounded_wait,applications/external/2048/game_2048.c,405,"FuriStatus event_status = furi_message_queue_get(event_queue, &input, FuriWaitForever);"
unbounded_wait,applications/external/2048/game_2048.c,410,"furi_mutex_acquire(game_state->mutex, FuriWaitForever);"
unbounded_wait,applications/external/4inrow/4inrow.c,150,"furi_mutex_acquire(fourinrow_state->mutex, FuriWaitForever);"
unbounded_wait,applications/external/4inrow/4inrow.c,217,"furi_message_queue_put(event_queue, input_event, FuriWaitForever);"
blocking_notification,applications/external/4inrow/4inrow.c,253,"notification_message_block(notification, &sequence_display_backlight_enforce_on);"
unbounded_wait,applications/external/4inrow/4inrow.c,259,"if(furi_message_queue_get(event_queue, &event, FuriWaitForever) == FuriStatusOk) {"
unbounded_wait,applications/external/4inrow/4inrow.c,264,"furi_mutex_acquire(fourinrow_state->mutex, FuriWaitForever);"
explicit_delay,applications/external/4inrow/4inrow.c,267,furi_delay_ms(1000);
blocking_notification,applications/external/4inrow/4inrow.c,317,"notification_message_block(notification, &sequence_display_backlight_enforce_auto);"
unbounded_wait,applications/external/air_arkanoid/engine/game_engine.c,123,"furi_thread_flags_wait(GameThreadFlagMask, FuriFlagWaitAny, FuriWaitForever);"
explicit_delay,applications/external/air_arkanoid/engine/game_engine.c,160,furi_delay_tick(2);
explicit_delay,applications/external/air_arkanoid/engine/sensors/ICM42688P/ICM42688P.c,251,furi_delay_ms(1);
